gateway-1  | time=2026-07-10T19:32:27.162Z level=INFO msg="gateway listening" addr=:8080 backend=mock models=mock-8b config_version=static
gateway-1  | time=2026-07-10T19:44:12.173Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000000 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:12.202Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000001 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:12.485Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000002 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:13.481Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000003 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:13.543Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000004 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:13.811Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000005 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:13.845Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000006 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:14.125Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000007 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:14.638Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000008 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.128Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000009 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.267Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000010 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.483Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000011 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.541Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000012 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.644Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000013 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:16.936Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000014 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:17.907Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000015 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:18.401Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000016 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:18.774Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000017 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:18.787Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000018 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:19.182Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000019 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:19.235Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000020 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:19.258Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000021 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:19.668Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000022 error_class=canceled cancel_point=pre_first_token status=499
gateway-1  | time=2026-07-10T19:44:19.701Z level=INFO msg="request canceled by client disconnect" request_id=i2-cancel-pre-first-token-r1-000023 error_class=canceled cancel_point=pre_first_token status=499
