0.00.003.988 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.179 I srv          init: The UI is disabled
0.00.004.203 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.005.731 I srv    load_model: loading model '/home/user/tools/models/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.649.713 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.096.691 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 4096, kv_unified = 'false'
0.02.103.475 I srv  llama_server: model loaded
0.02.103.508 I srv  llama_server: listening on http://127.0.0.1:18082
0.11.635.726 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.11.635.880 I slot launch_slot_: id  1 | task 0 | processing task, is_child = 0
0.17.804.563 I slot print_timing: id  1 | task 0 | prompt eval time =    1983.23 ms /   206 tokens (    9.63 ms per token,   103.87 tokens per second)
0.17.804.571 I slot print_timing: id  1 | task 0 |        eval time =    4185.29 ms /    78 tokens (   53.66 ms per token,    18.64 tokens per second)
0.17.804.572 I slot print_timing: id  1 | task 0 |       total time =    6168.52 ms /   284 tokens
0.17.804.581 I slot print_timing: id  1 | task 0 |    graphs reused =         76
0.17.804.976 I slot      release: id  1 | task 0 | stop processing: n_tokens = 283, truncated = 0
0.36.262.272 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.36.262.456 I slot launch_slot_: id  0 | task 79 | processing task, is_child = 0
0.44.123.057 I slot print_timing: id  0 | task 79 | n_decoded =    100, tg =  18.15 t/s, tg_3s =  18.15 t/s
0.47.161.458 I slot print_timing: id  0 | task 79 | n_decoded =    154, tg =  18.02 t/s, tg_3s =  17.77 t/s
0.47.656.170 I slot print_timing: id  0 | task 79 | prompt eval time =    2343.19 ms /   243 tokens (    9.64 ms per token,   103.70 tokens per second)
0.47.656.250 I slot print_timing: id  0 | task 79 |        eval time =    9042.93 ms /   163 tokens (   55.48 ms per token,    18.03 tokens per second)
0.47.656.264 I slot print_timing: id  0 | task 79 |       total time =   11386.11 ms /   406 tokens
0.47.656.275 I slot print_timing: id  0 | task 79 |    graphs reused =        236
0.47.657.014 I slot      release: id  0 | task 79 | stop processing: n_tokens = 405, truncated = 0
1.04.743.607 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.109 (> 0.100 thold), f_keep = 0.059
1.04.755.204 I slot launch_slot_: id  0 | task 243 | processing task, is_child = 0
1.09.327.109 I slot print_timing: id  0 | task 243 | prompt eval time =    1815.12 ms /   196 tokens (    9.26 ms per token,   107.98 tokens per second)
1.09.327.116 I slot print_timing: id  0 | task 243 |        eval time =    2756.38 ms /    54 tokens (   51.04 ms per token,    19.59 tokens per second)
1.09.327.117 I slot print_timing: id  0 | task 243 |       total time =    4571.50 ms /   250 tokens
1.09.327.119 I slot print_timing: id  0 | task 243 |    graphs reused =        287
1.09.327.200 I slot      release: id  0 | task 243 | stop processing: n_tokens = 273, truncated = 0
1.13.774.371 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3570819075
1.13.774.549 I slot launch_slot_: id  1 | task 298 | processing task, is_child = 0
1.21.191.342 I slot print_timing: id  1 | task 298 | n_decoded =    100, tg =  18.83 t/s, tg_3s =  18.83 t/s
1.24.217.571 I slot print_timing: id  1 | task 298 | n_decoded =    157, tg =  18.83 t/s, tg_3s =  18.84 t/s
1.25.936.507 I slot print_timing: id  1 | task 298 | prompt eval time =    2097.61 ms /   217 tokens (    9.67 ms per token,   103.45 tokens per second)
1.25.936.537 I slot print_timing: id  1 | task 298 |        eval time =   10056.97 ms /   189 tokens (   53.21 ms per token,    18.79 tokens per second)
1.25.936.538 I slot print_timing: id  1 | task 298 |       total time =   12154.58 ms /   406 tokens
1.25.936.539 I slot print_timing: id  1 | task 298 |    graphs reused =        473
1.25.936.588 I slot      release: id  1 | task 298 | stop processing: n_tokens = 429, truncated = 0
1.42.827.322 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3622341285
1.42.827.517 I slot launch_slot_: id  0 | task 488 | processing task, is_child = 0
1.45.198.971 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3638950673
1.45.199.175 I slot launch_slot_: id  1 | task 490 | processing task, is_child = 0
1.52.860.619 I slot print_timing: id  1 | task 490 | prompt eval time =    2299.12 ms /   237 tokens (    9.70 ms per token,   103.08 tokens per second)
1.52.860.626 I slot print_timing: id  1 | task 490 |        eval time =    5362.17 ms /    66 tokens (   81.25 ms per token,    12.31 tokens per second)
1.52.860.627 I slot print_timing: id  1 | task 490 |       total time =    7661.29 ms /   303 tokens
1.52.860.629 I slot print_timing: id  1 | task 490 |    graphs reused =        537
1.52.861.151 I slot      release: id  1 | task 490 | stop processing: n_tokens = 326, truncated = 0
1.54.710.758 I slot print_timing: id  0 | task 488 | n_decoded =    100, tg =  10.51 t/s, tg_3s =  10.51 t/s
