0.00.013.693 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.013.978 I srv          init: The UI is disabled
0.00.013.998 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.016.356 I srv    load_model: loading model '/home/user/tools/models/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.01.451.772 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
1.34.633.025 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 4096, kv_unified = 'false'
1.34.640.788 I srv  llama_server: model loaded
1.34.640.820 I srv  llama_server: listening on http://127.0.0.1:18082
1.42.741.806 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.42.741.988 I slot launch_slot_: id  1 | task 0 | processing task, is_child = 0
1.55.187.136 I slot print_timing: id  1 | task 0 | prompt eval time =   10766.21 ms /  1206 tokens (    8.93 ms per token,   112.02 tokens per second)
1.55.187.141 I slot print_timing: id  1 | task 0 |        eval time =    1678.54 ms /    30 tokens (   55.95 ms per token,    17.87 tokens per second)
1.55.187.143 I slot print_timing: id  1 | task 0 |       total time =   12444.75 ms /  1236 tokens
1.55.187.152 I slot print_timing: id  1 | task 0 |    graphs reused =         29
1.55.187.305 I slot      release: id  1 | task 0 | stop processing: n_tokens = 1235, truncated = 0
2.23.378.249 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.832 (> 0.100 thold), f_keep = 0.866
2.23.378.410 I slot launch_slot_: id  1 | task 31 | processing task, is_child = 0
2.31.644.517 I slot print_timing: id  1 | task 31 | n_decoded =    100, tg =  16.14 t/s, tg_3s =  16.14 t/s
2.34.663.047 I slot print_timing: id  1 | task 31 | n_decoded =    151, tg =  16.39 t/s, tg_3s =  16.90 t/s
2.36.953.520 I slot print_timing: id  1 | task 31 | prompt eval time =    2068.94 ms /   216 tokens (    9.58 ms per token,   104.40 tokens per second)
2.36.953.549 I slot print_timing: id  1 | task 31 |        eval time =   11506.07 ms /   187 tokens (   61.53 ms per token,    16.25 tokens per second)
2.36.953.550 I slot print_timing: id  1 | task 31 |       total time =   13575.01 ms /   403 tokens
2.36.953.551 I slot print_timing: id  1 | task 31 |    graphs reused =        214
2.36.953.631 I slot      release: id  1 | task 31 | stop processing: n_tokens = 1472, truncated = 0
3.13.893.253 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.724 (> 0.100 thold), f_keep = 0.727
3.13.893.422 I slot launch_slot_: id  1 | task 219 | processing task, is_child = 0
3.20.962.620 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.20.962.895 I slot launch_slot_: id  0 | task 269 | processing task, is_child = 0
3.36.964.282 I slot print_timing: id  1 | task 219 | prompt eval time =    4009.78 ms /   407 tokens (    9.85 ms per token,   101.50 tokens per second)
3.36.964.326 I slot print_timing: id  1 | task 219 |        eval time =   19060.95 ms /    54 tokens (  352.98 ms per token,     2.83 tokens per second)
3.36.964.334 I slot print_timing: id  1 | task 219 |       total time =   23070.73 ms /   461 tokens
3.36.964.342 I slot print_timing: id  1 | task 219 |    graphs reused =        265
3.36.964.573 I slot      release: id  1 | task 219 | stop processing: n_tokens = 1530, truncated = 0
3.38.371.493 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.710 (> 0.100 thold), f_keep = 0.699
3.38.371.703 I slot launch_slot_: id  1 | task 298 | processing task, is_child = 0
3.49.392.599 I slot print_timing: id  0 | task 269 | n_decoded =    100, tg =   7.81 t/s, tg_3s =   7.81 t/s
3.49.922.023 I slot print_timing: id  0 | task 269 | prompt eval time =   15625.40 ms /  1695 tokens (    9.22 ms per token,   108.48 tokens per second)
3.49.922.127 I slot print_timing: id  0 | task 269 |        eval time =   13333.58 ms /   106 tokens (  125.79 ms per token,     7.95 tokens per second)
3.49.922.165 I slot print_timing: id  0 | task 269 |       total time =   28958.98 ms /  1801 tokens
3.49.922.174 I slot print_timing: id  0 | task 269 |    graphs reused =        362
3.49.923.049 I slot      release: id  0 | task 269 | stop processing: n_tokens = 1800, truncated = 0
3.50.991.962 I slot print_timing: id  1 | task 298 | prompt eval time =    4492.93 ms /   438 tokens (   10.26 ms per token,    97.49 tokens per second)
3.50.991.998 I slot print_timing: id  1 | task 298 |        eval time =    8127.17 ms /    96 tokens (   84.66 ms per token,    11.81 tokens per second)
3.50.992.005 I slot print_timing: id  1 | task 298 |       total time =   12620.10 ms /   534 tokens
3.50.992.013 I slot print_timing: id  1 | task 298 |    graphs reused =        379
3.50.992.908 I slot      release: id  1 | task 298 | stop processing: n_tokens = 1603, truncated = 0
4.11.006.366 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.625 (> 0.100 thold), f_keep = 0.667
4.11.006.508 I slot launch_slot_: id  1 | task 395 | processing task, is_child = 0
4.18.776.941 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 521857027
4.18.777.169 I slot launch_slot_: id  0 | task 415 | processing task, is_child = 0
4.39.810.428 I slot print_timing: id  1 | task 395 | prompt eval time =    6343.33 ms /   643 tokens (    9.87 ms per token,   101.37 tokens per second)
4.39.810.449 I slot print_timing: id  1 | task 395 |        eval time =   22146.63 ms /    75 tokens (  295.29 ms per token,     3.39 tokens per second)
4.39.810.450 I slot print_timing: id  1 | task 395 |       total time =   28489.96 ms /   718 tokens
4.39.810.451 I slot print_timing: id  1 | task 395 |    graphs reused =        451
4.39.810.733 I slot      release: id  1 | task 395 | stop processing: n_tokens = 1787, truncated = 0
4.39.810.757 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.809 (> 0.100 thold), f_keep = 0.599
4.39.810.909 I slot launch_slot_: id  1 | task 417 | processing task, is_child = 0
4.43.408.681 I slot print_timing: id  0 | task 415 | prompt eval time =   16012.44 ms /  1771 tokens (    9.04 ms per token,   110.60 tokens per second)
4.43.408.719 I slot print_timing: id  0 | task 415 |        eval time =    8618.91 ms /    71 tokens (  121.39 ms per token,     8.24 tokens per second)
4.43.408.727 I slot print_timing: id  0 | task 415 |       total time =   24631.35 ms /  1842 tokens
4.43.408.736 I slot print_timing: id  0 | task 415 |    graphs reused =        464
4.43.409.073 I slot      release: id  0 | task 415 | stop processing: n_tokens = 1865, truncated = 0
4.43.409.982 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 575343047
4.43.670.294 I slot launch_slot_: id  0 | task 418 | processing task, is_child = 0
5.03.999.888 I slot print_timing: id  0 | task 418 | prompt eval time =   14830.43 ms /  1682 tokens (    8.82 ms per token,   113.42 tokens per second)
5.03.999.894 I slot print_timing: id  0 | task 418 |        eval time =    5498.99 ms /    65 tokens (   84.60 ms per token,    11.82 tokens per second)
5.03.999.895 I slot print_timing: id  0 | task 418 |       total time =   20329.42 ms /  1747 tokens
5.03.999.897 I slot print_timing: id  0 | task 418 |    graphs reused =        527
5.04.000.028 I slot      release: id  0 | task 418 | stop processing: n_tokens = 1770, truncated = 0
5.04.000.457 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 595933989
5.04.341.064 I slot launch_slot_: id  0 | task 419 | processing task, is_child = 0
